Frame No: 5   , Epoch Time = 1496669647651177 , IAT = 0.000095 ,Frame Size = 54   ,Trans Rate = 568421.052632  
Frame No: 13  , Epoch Time = 1496669650860239 , IAT = 0.038666 ,Frame Size = 130  ,Trans Rate = 3362.126933  
Frame No: 14  , Epoch Time = 1496669650878683 , IAT = 0.018444 ,Frame Size = 54   ,Trans Rate = 2927.781392  
Frame No: 19  , Epoch Time = 1496669651017364 , IAT = 0.057298 ,Frame Size = 60   ,Trans Rate = 1047.156969  
Frame No: 20  , Epoch Time = 1496669651017525 , IAT = 0.000161 ,Frame Size = 54   ,Trans Rate = 335403.726708  
Frame No: 21  , Epoch Time = 1496669651017849 , IAT = 0.000324 ,Frame Size = 249  ,Trans Rate = 768518.518519  
Frame No: 22  , Epoch Time = 1496669651072181 , IAT = 0.054332 ,Frame Size = 60   ,Trans Rate = 1104.321578  
Frame No: 23  , Epoch Time = 1496669651074896 , IAT = 0.002715 ,Frame Size = 371  ,Trans Rate = 136648.250460  
Frame No: 24  , Epoch Time = 1496669651076879 , IAT = 0.001983 ,Frame Size = 54   ,Trans Rate = 27231.467474  
Frame No: 25  , Epoch Time = 1496669651134106 , IAT = 0.057227 ,Frame Size = 60   ,Trans Rate = 1048.456148  
Frame No: 26  , Epoch Time = 1496669651134246 , IAT = 0.000140 ,Frame Size = 54   ,Trans Rate = 385714.285714  
Frame No: 27  , Epoch Time = 1496669651151496 , IAT = 0.017250 ,Frame Size = 188  ,Trans Rate = 10898.550725  
Frame No: 28  , Epoch Time = 1496669651216007 , IAT = 0.064511 ,Frame Size = 60   ,Trans Rate = 930.073941  
Frame No: 44  , Epoch Time = 1496669661432010 , IAT = 0.000551 ,Frame Size = 63   ,Trans Rate = 114337.568058  
Frame No: 45  , Epoch Time = 1496669661493947 , IAT = 0.061937 ,Frame Size = 60   ,Trans Rate = 968.726286  
Frame No: 51  , Epoch Time = 1496669663894867 , IAT = 0.000166 ,Frame Size = 54   ,Trans Rate = 325301.204819  
Frame No: 52  , Epoch Time = 1496669663894943 , IAT = 0.000076 ,Frame Size = 280  ,Trans Rate = 3684210.526316  
Frame No: 53  , Epoch Time = 1496669663967978 , IAT = 0.073035 ,Frame Size = 60   ,Trans Rate = 821.523927  
Frame No: 54  , Epoch Time = 1496669663968651 , IAT = 0.000673 ,Frame Size = 74   ,Trans Rate = 109955.423477  
Frame No: 55  , Epoch Time = 1496669664019009 , IAT = 0.050358 ,Frame Size = 54   ,Trans Rate = 1072.322173  
Frame No: 56  , Epoch Time = 1496669665021730 , IAT = 1.002721 ,Frame Size = 54   ,Trans Rate = 53.853465  
Frame No: 57  , Epoch Time = 1496669665091912 , IAT = 0.070182 ,Frame Size = 60   ,Trans Rate = 854.920065  
Frame No: 58  , Epoch Time = 1496669665092029 , IAT = 0.000117 ,Frame Size = 54   ,Trans Rate = 461538.461538  
Frame No: 59  , Epoch Time = 1496669665474385 , IAT = 0.382356 ,Frame Size = 135  ,Trans Rate = 353.074098  
Frame No: 60  , Epoch Time = 1496669665499885 , IAT = 0.025500 ,Frame Size = 54   ,Trans Rate = 2117.647059  
Frame No: 68  , Epoch Time = 1496669668893914 , IAT = 0.025666 ,Frame Size = 54   ,Trans Rate = 2103.950752  
Frame No: 80  , Epoch Time = 1496669670250762 , IAT = 0.000064 ,Frame Size = 74   ,Trans Rate = 1156250.000000  
Frame No: 81  , Epoch Time = 1496669670250843 , IAT = 0.000081 ,Frame Size = 314  ,Trans Rate = 3876543.209877  
Frame No: 82  , Epoch Time = 1496669670250898 , IAT = 0.000055 ,Frame Size = 807  ,Trans Rate = 14672727.272727  
Frame No: 91  , Epoch Time = 1496669670254348 , IAT = 0.000644 ,Frame Size = 979  ,Trans Rate = 1520186.335404  
Frame No: 92  , Epoch Time = 1496669670254417 , IAT = 0.000069 ,Frame Size = 74   ,Trans Rate = 1072463.768116  
Frame No: 93  , Epoch Time = 1496669670257565 , IAT = 0.003148 ,Frame Size = 74   ,Trans Rate = 23506.988564  
